Date,Open,High,Low,Close,Adj Close,Volume
2011-06-01,6.990000,6.990000,6.110000,6.720000,6.720000,4583800
2011-07-01,6.885000,7.100000,6.335000,6.415000,6.415000,3694400
2011-08-01,6.365000,6.365000,4.600000,5.580000,5.580000,18084600
2011-09-01,5.500000,5.665000,4.605000,4.750000,4.750000,13068200
2011-10-01,4.675000,6.140000,4.285000,5.765000,5.765000,14753000
2011-11-01,5.415000,5.990000,4.850000,5.660000,5.660000,16097600
2011-12-01,5.620000,5.850000,5.260000,5.755000,5.755000,10995600
2012-01-01,5.950000,6.465000,5.820000,6.260000,6.260000,5711400
2012-02-01,6.345000,6.910000,6.345000,6.790000,6.790000,4490200
2012-03-01,6.830000,7.335000,6.540000,7.220000,7.220000,5301400
2012-04-01,7.210000,7.365000,6.705000,7.095000,7.095000,7959800
2012-05-01,7.070000,7.265000,6.075000,6.250000,6.250000,7315800
2012-06-01,6.015000,6.825000,5.840000,6.715000,6.715000,7121400
2012-07-01,6.765000,7.005000,6.365000,6.885000,6.885000,9003600
2012-08-01,6.915000,7.375000,6.635000,7.180000,7.180000,3782200
2012-09-01,7.170000,7.880000,7.085000,7.520000,7.520000,4442800
2012-10-01,7.580000,7.855000,7.100000,7.235000,7.235000,4727600
2012-11-01,7.250000,7.470000,6.560000,7.280000,7.280000,9093600
2012-12-01,7.360000,7.650000,7.110000,7.415000,7.415000,7177600
2013-01-01,7.685000,8.290000,7.650000,8.185000,8.185000,3593400
2013-02-01,8.260000,8.545000,8.040000,8.380000,8.380000,5247200
2013-03-01,8.320000,8.990000,8.225000,8.985000,8.985000,7558600
2013-04-01,8.975000,9.310000,8.595000,9.285000,9.285000,14813200
2013-05-01,9.250000,10.380000,9.110000,9.715000,9.715000,6734200
2013-06-01,9.760000,9.980000,8.870000,9.405000,9.405000,11425400
2013-07-01,9.490000,10.525000,9.385000,10.375000,10.375000,7307200
2013-08-01,10.530000,10.650000,9.680000,9.730000,9.730000,6850800
2013-09-01,9.930000,10.965000,9.755000,10.350000,10.350000,6667400
2013-10-01,10.360000,11.525000,9.925000,11.310000,11.310000,5926000
2013-11-01,11.340000,12.075000,11.165000,11.960000,11.960000,3639000
2013-12-01,11.965000,12.555000,11.465000,12.550000,12.550000,4417200
2014-01-01,12.495000,12.585000,11.510000,11.665000,11.665000,4993200
2014-02-01,11.635000,12.835000,11.095000,12.725000,12.725000,6705000
2014-03-01,12.510000,13.085000,12.385000,12.945000,12.945000,8215400
2014-04-01,13.000000,13.285000,12.125000,13.035000,13.035000,7867400
2014-05-01,13.040000,13.650000,12.735000,13.650000,13.650000,6127200
2014-06-01,13.665000,14.300000,13.545000,14.190000,14.190000,3667400
2014-07-01,14.375000,14.645000,13.775000,13.780000,13.780000,5276600
2014-08-01,13.685000,14.870000,13.415000,14.855000,14.855000,5729000
2014-09-01,14.850000,15.125000,14.275000,14.410000,14.410000,5684000
2014-10-01,14.350000,15.050000,12.270000,15.030000,15.030000,10456800
2014-11-01,15.070000,15.940000,14.810000,15.750000,15.750000,2775600
2014-12-01,15.585000,16.225000,14.440000,15.710000,15.710000,7136400
2015-01-01,15.855000,15.900000,14.625000,14.700000,14.700000,9557400
2015-02-01,14.795000,16.635000,14.515000,16.424999,16.424999,5803800
2015-03-01,16.400000,16.600000,15.410000,15.845000,15.845000,5680800
2015-04-01,15.810000,16.705000,15.530000,16.075001,16.075001,4767600
2015-05-01,16.245001,16.879999,15.835000,16.490000,16.490000,3830000
2015-06-01,16.580000,16.805000,15.675000,15.780000,15.780000,6942000
2015-07-01,15.940000,16.855000,15.480000,16.389999,16.389999,6424400
2015-08-01,16.295000,16.535000,12.305000,14.325000,14.325000,13031600
2015-09-01,13.670000,15.010000,12.865000,13.510000,13.510000,10083200
